num_nodes,num_samples,edge_prob,Algorithm,SHD,CHD
8,1000,0.4,GES,1.0,
8,500,0.4,MCMC,9.0,5
8,500,0.4,GES,1.0,
8,100,0.4,MCMC,8.0,3
8,100,0.4,GES,5.0,
8,1000,0.4,MCMC,5.0,4
8,1000,0.4,GES,1.0,
8,500,0.4,MCMC,6.0,4
8,500,0.4,GES,9.0,
8,100,0.4,MCMC,6.0,2
8,100,0.4,GES,9.0,
8,1000,0.4,MCMC,9.0,4
8,1000,0.4,GES,13.0,
8,500,0.4,MCMC,8.0,4
8,500,0.4,GES,12.0,
8,100,0.4,MCMC,12.0,2
8,100,0.4,GES,15.0,
8,1000,0.4,MCMC,14.0,4
8,1000,0.4,GES,12.0,
8,500,0.4,MCMC,14.0,5
8,500,0.4,GES,13.0,
8,100,0.4,MCMC,8.0,4
8,100,0.4,GES,16.0,
8,1000,0.4,MCMC,14.0,4
8,1000,0.4,GES,15.0,
8,500,0.4,MCMC,7.0,3
8,500,0.4,GES,14.0,
8,100,0.4,MCMC,12.0,0
8,100,0.4,GES,9.0,
8,1000,0.4,MCMC,10.0,3
8,1000,0.4,GES,1.0,
8,500,0.4,MCMC,7.0,1
8,500,0.4,GES,10.0,
8,100,0.4,MCMC,10.0,3
8,100,0.4,GES,5.0,
8,1000,0.4,MCMC,10.0,5
8,1000,0.4,GES,5.0,
8,500,0.4,MCMC,10.0,3
8,500,0.4,GES,17.0,
8,100,0.4,MCMC,15.0,5
8,100,0.4,GES,12.0,
8,1000,0.4,MCMC,6.0,2
8,1000,0.4,GES,23.0,
8,500,0.4,MCMC,6.0,4
8,500,0.4,GES,6.0,
8,100,0.4,MCMC,8.0,4
8,100,0.4,GES,18.0,
8,1000,0.4,MCMC,11.0,3
8,1000,0.4,GES,25.0,
8,500,0.4,MCMC,6.0,2
8,500,0.4,GES,4.0,
8,100,0.4,MCMC,14.0,5
8,100,0.4,GES,16.0,
8,1000,0.4,MCMC,13.0,5
8,1000,0.4,GES,14.0,
8,500,0.4,MCMC,16.0,4
8,500,0.4,GES,15.0,
8,100,0.4,MCMC,17.0,3
8,100,0.4,GES,9.0,
8,1000,0.4,MCMC,11.0,5
8,1000,0.4,GES,4.0,
8,500,0.4,MCMC,9.0,5
8,500,0.4,GES,3.0,
8,100,0.4,MCMC,14.0,4
8,100,0.4,GES,5.0,
8,1000,0.4,MCMC,10.0,5
8,1000,0.4,GES,0.0,
8,500,0.4,MCMC,8.0,5
8,500,0.4,GES,16.0,
8,100,0.4,MCMC,19.0,4
8,100,0.4,GES,16.0,
8,1000,0.2,MCMC,10.0,3
8,1000,0.2,GES,6.0,
8,500,0.2,MCMC,8.0,4
8,500,0.2,GES,4.0,
8,100,0.2,MCMC,6.0,1
8,100,0.2,GES,4.0,
8,1000,0.2,MCMC,8.0,5
8,1000,0.2,GES,6.0,
8,500,0.2,MCMC,6.0,3
8,500,0.2,GES,5.0,
8,100,0.2,MCMC,7.0,5
8,100,0.2,GES,3.0,
8,1000,0.2,MCMC,7.0,3
8,1000,0.2,GES,3.0,
8,500,0.2,MCMC,9.0,2
8,500,0.2,GES,2.0,
8,100,0.2,MCMC,7.0,3
8,100,0.2,GES,3.0,
8,1000,0.2,MCMC,6.0,3
8,1000,0.2,GES,3.0,
8,500,0.2,MCMC,8.0,2
8,500,0.2,GES,2.0,
8,100,0.2,MCMC,6.0,0
8,100,0.2,GES,3.0,
8,1000,0.2,MCMC,6.0,2
8,1000,0.2,GES,2.0,
8,500,0.2,MCMC,6.0,4
8,500,0.2,GES,2.0,
8,100,0.2,MCMC,7.0,3
8,100,0.2,GES,3.0,
8,1000,0.2,MCMC,4.0,4
8,1000,0.2,GES,4.0,
8,500,0.2,MCMC,8.0,3
8,500,0.2,GES,4.0,
8,100,0.2,MCMC,7.0,0
8,100,0.2,GES,8.0,
8,1000,0.2,MCMC,10.0,5
8,1000,0.2,GES,5.0,
8,500,0.2,MCMC,8.0,2
