num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD
8,4,0.4,100,GES,7.0,
8,2,0.4,1000,Greedy,13.0,4
8,2,0.4,1000,GES,5.0,
8,2,0.4,500,Greedy,5.0,2
8,2,0.4,500,GES,6.0,
8,2,0.4,100,Greedy,14.0,2
8,2,0.4,100,GES,8.0,
8,4,0.2,1000,Greedy,2.0,2
8,4,0.2,1000,GES,3.0,
8,4,0.2,500,Greedy,3.0,1
8,4,0.2,500,GES,3.0,
8,4,0.2,100,Greedy,3.0,1
8,4,0.2,100,GES,8.0,
8,2,0.2,1000,Greedy,3.0,3
8,2,0.2,1000,GES,4.0,
8,2,0.2,500,Greedy,5.0,4
8,2,0.2,500,GES,8.0,
8,2,0.2,100,Greedy,5.0,1
8,2,0.2,100,GES,7.0,
5,2,0.8,1000,Greedy,6.0,2
5,2,0.8,1000,GES,10.0,
5,2,0.8,500,Greedy,8.0,2
5,2,0.8,500,GES,11.0,
5,2,0.8,100,Greedy,5.0,2
5,2,0.8,100,GES,10.0,
5,2,0.8,1000,Greedy,1.0,2
5,2,0.8,1000,GES,4.0,
5,2,0.8,500,Greedy,5.0,2
5,2,0.8,500,GES,4.0,
5,2,0.8,100,Greedy,0.0,0
5,2,0.8,100,GES,7.0,
5,2,0.6,1000,Greedy,1.0,1
5,2,0.6,1000,GES,5.0,
5,2,0.6,500,Greedy,1.0,1
5,2,0.6,500,GES,3.0,
5,2,0.6,100,Greedy,7.0,1
5,2,0.6,100,GES,7.0,
5,2,0.6,1000,Greedy,2.0,2
5,2,0.6,1000,GES,4.0,
5,2,0.6,500,Greedy,2.0,1
5,2,0.6,500,GES,4.0,
5,2,0.6,100,Greedy,0.0,0
5,2,0.6,100,GES,6.0,
5,2,0.4,1000,Greedy,2.0,2
5,2,0.4,1000,GES,1.0,
5,2,0.4,500,Greedy,0.0,0
5,2,0.4,500,GES,1.0,
5,2,0.4,100,Greedy,0.0,0
5,2,0.4,100,GES,1.0,
5,2,0.4,1000,Greedy,2.0,1
5,2,0.4,1000,GES,2.0,
5,2,0.4,500,Greedy,0.0,0
5,2,0.4,500,GES,2.0,
5,2,0.4,100,Greedy,0.0,1
5,2,0.4,100,GES,2.0,
