num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD,CSHD
6,2,0.8,500,Greedy,7.0,2.0,10.0
6,2,0.8,500,GES,5.0,,
6,2,0.8,100,Greedy,4.0,0.0,4.0
6,2,0.8,100,GES,16.0,,
6,3,0.6,1000,Greedy,0.0,0.0,4.0
6,3,0.6,1000,GES,1.0,,
6,3,0.6,500,Greedy,0.0,0.0,4.0
6,3,0.6,500,GES,1.0,,
6,3,0.6,100,Greedy,1.0,0.0,5.0
6,3,0.6,100,GES,2.0,,
6,2,0.6,1000,Greedy,3.0,3.0,4.0
6,2,0.6,1000,GES,3.0,,
6,2,0.6,500,Greedy,3.0,3.0,4.0
6,2,0.6,500,GES,5.0,,
6,2,0.6,100,Greedy,5.0,1.0,7.0
6,2,0.6,100,GES,5.0,,
6,3,0.4,1000,Greedy,5.0,3.0,8.0
6,3,0.4,1000,GES,8.0,,
6,3,0.4,500,Greedy,4.0,2.0,7.0
6,3,0.4,500,GES,7.0,,
6,3,0.4,100,Greedy,10.0,3.0,10.0
6,3,0.4,100,GES,7.0,,
6,2,0.4,1000,Greedy,8.0,2.0,11.0
6,2,0.4,1000,GES,14.0,,
6,2,0.4,500,Greedy,5.0,3.0,8.0
6,2,0.4,500,GES,14.0,,
6,2,0.4,100,Greedy,1.0,3.0,3.0
6,2,0.4,100,GES,10.0,,
6,3,0.2,1000,Greedy,2.0,1.0,2.0
6,3,0.2,1000,GES,3.0,,
6,3,0.2,500,Greedy,0.0,1.0,0.0
6,3,0.2,500,GES,3.0,,
6,3,0.2,100,Greedy,2.0,0.0,2.0
6,3,0.2,100,GES,3.0,,
6,2,0.2,1000,Greedy,0.0,1.0,0.0
6,2,0.2,1000,GES,2.0,,
6,2,0.2,500,Greedy,0.0,0.0,0.0
6,2,0.2,500,GES,4.0,,
6,2,0.2,100,Greedy,0.0,1.0,0.0
6,2,0.2,100,GES,2.0,,
4,2,0.8,1000,Greedy,5.0,2.0,5.0
4,2,0.8,1000,GES,4.0,,
4,2,0.8,500,Greedy,3.0,0.0,3.0
4,2,0.8,500,GES,4.0,,
4,2,0.8,100,Greedy,3.0,0.0,3.0
4,2,0.8,100,GES,4.0,,
4,2,0.8,1000,Greedy,0.0,0.0,0.0
4,2,0.8,1000,GES,5.0,,
4,2,0.8,500,Greedy,2.0,0.0,3.0
4,2,0.8,500,GES,5.0,,
4,2,0.8,100,Greedy,4.0,1.0,5.0
4,2,0.8,100,GES,5.0,,
4,2,0.6,1000,Greedy,0.0,0.0,0.0
4,2,0.6,1000,GES,2.0,,
4,2,0.6,500,Greedy,0.0,0.0,0.0
4,2,0.6,500,GES,2.0,,
4,2,0.6,100,Greedy,2.0,0.0,2.0
4,2,0.6,100,GES,2.0,,
4,2,0.6,1000,Greedy,0.0,0.0,0.0
4,2,0.6,1000,GES,2.0,,
4,2,0.6,500,Greedy,2.0,0.0,2.0
4,2,0.6,500,GES,2.0,,
4,2,0.6,100,Greedy,2.0,0.0,2.0
4,2,0.6,100,GES,2.0,,
4,2,0.4,1000,Greedy,0.0,0.0,0.0
4,2,0.4,1000,GES,2.0,,
4,2,0.4,500,Greedy,2.0,2.0,2.0
4,2,0.4,500,GES,2.0,,
4,2,0.4,100,Greedy,2.0,1.0,2.0
4,2,0.4,100,GES,2.0,,
4,2,0.4,1000,Greedy,0.0,0.0,0.0
4,2,0.4,1000,GES,2.0,,
4,2,0.4,500,Greedy,0.0,0.0,0.0
4,2,0.4,500,GES,2.0,,
4,2,0.4,100,Greedy,0.0,0.0,1.0
4,2,0.4,100,GES,2.0,,
4,2,0.2,1000,Greedy,0.0,0.0,0.0
4,2,0.2,1000,GES,2.0,,
4,2,0.2,500,Greedy,2.0,2.0,2.0
4,2,0.2,500,GES,2.0,,
4,2,0.2,100,Greedy,0.0,0.0,0.0
4,2,0.2,100,GES,2.0,,
4,2,0.2,1000,Greedy,0.0,0.0,0.0
4,2,0.2,1000,GES,1.0,,
4,2,0.2,500,Greedy,0.0,0.0,0.0
4,2,0.2,500,GES,1.0,,
4,2,0.2,100,Greedy,0.0,0.0,0.0
4,2,0.2,100,GES,1.0,,
20,10,0.8,1000,Greedy,168.0,16.0,216.0
20,10,0.8,1000,GES,178.0,,
20,10,0.8,500,Greedy,186.0,17.0,219.0
20,10,0.8,500,GES,170.0,,
20,10,0.8,100,Greedy,146.0,14.0,164.0
20,10,0.8,100,GES,148.0,,
