num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD,CSHD
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,0,0,0
4,2,0.4,1000,MCMC,0,0,1
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,4,1,4
4,2,0.4,1000,MCMC,2,1,2
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,2,1,2
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,2,2,2
4,2,0.2,100,MCMC,0,0,0
4,2,0.2,1000,MCMC,2,2,2
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,2,2,2
6,3,0.8,1000,MCMC,9,3,12
6,3,0.8,500,MCMC,1,1,8
6,3,0.8,100,MCMC,8,1,10
6,2,0.8,1000,MCMC,9,1,14
6,2,0.8,500,MCMC,5,1,13
6,2,0.8,100,MCMC,12,0,14
6,3,0.6,1000,MCMC,2,0,7
6,3,0.6,500,MCMC,5,1,10
6,3,0.6,100,MCMC,2,0,5
6,2,0.6,1000,MCMC,3,0,5
6,2,0.6,500,MCMC,6,3,8
6,2,0.6,100,MCMC,5,1,6
6,3,0.4,1000,MCMC,1,3,3
6,3,0.4,500,MCMC,0,3,1
6,3,0.4,100,MCMC,3,1,4
6,2,0.4,1000,MCMC,1,0,3
6,2,0.4,500,MCMC,5,2,7
6,2,0.4,100,MCMC,1,2,1
6,3,0.2,1000,MCMC,4,0,4
6,3,0.2,500,MCMC,1,3,1
6,3,0.2,100,MCMC,2,2,2
6,2,0.2,1000,MCMC,5,2,6
6,2,0.2,500,MCMC,1,1,1
6,2,0.2,100,MCMC,3,1,3
4,2,0.8,1000,MCMC,0,0,1
4,2,0.8,500,MCMC,0,0,1
4,2,0.8,100,MCMC,0,1,1
4,2,0.8,1000,MCMC,0,0,2
4,2,0.8,500,MCMC,0,0,2
4,2,0.8,100,MCMC,3,0,4
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,1
4,2,0.6,100,MCMC,7,1,7
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,3,1,3
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,2,0,2
4,2,0.4,100,MCMC,0,0,0
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,6,1,6
4,2,0.4,100,MCMC,0,2,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
6,3,0.8,1000,MCMC,2,0,8
6,3,0.8,500,MCMC,4,2,9
6,3,0.8,100,MCMC,12,2,12
6,2,0.8,1000,MCMC,11,2,14
6,2,0.8,500,MCMC,0,1,10
6,2,0.8,100,MCMC,15,2,16
6,3,0.6,1000,MCMC,4,2,10
6,3,0.6,500,MCMC,11,3,13
6,3,0.6,100,MCMC,7,0,9
6,2,0.6,1000,MCMC,0,2,4
6,2,0.6,500,MCMC,2,0,4
6,2,0.6,100,MCMC,0,2,2
6,3,0.4,1000,MCMC,0,1,1
6,3,0.4,500,MCMC,1,1,2
6,3,0.4,100,MCMC,1,1,2
6,2,0.4,1000,MCMC,2,1,5
